listingStatus,listingPriceRange,listingCommunity,listingBuilderName,builderDescription,listingAddress,listingTitle,listingDescription,listingUrl,listingImage,listingVideo
Current,$500k - $1MM,CHENEVERT MANOR,IKLO Homes,,"5206, 5208 CHENEVERT, RICE/MUSEUM DISTRICT",CHENEVERT MANOR,"Located in the heart of the Museum District, IKLO homes brings you the perfect combination between indoor & outdoor living. First floor offers an open concept floor plan with high end appliances, waterfall edge island & a great room perfect for entertaining...",https://www.nanproperties.com/our-developments-page/Chenevert-Manor,https://i.ibb.co/Rb59gsZ/preview-full-3.jpg,
Current,$500k - $1MM,Peden Square,Brookstone Homes,,1612  Hazel Street,Peden Square,"Exceptional construction by Brookstone Homes, offering an open floor plan w/abundant natural lighting, high ceilings, hardwood flooring & high-end finishes. The first floor offers Marrazi porcelain tile floors, a bedroom w/a walk-in closet, access to the backyard space, a full bath w/granite counters & a glass/tile shower w/an inlaid stone floor...",https://www.nanproperties.com/our-developments-page/Hazel-Street,https://photos.harstatic.com/180294881/hr/img-1.jpeg,
Current,$200k - $500k,Fulton Station,Lennar Homes,"Lennar is the leading builder of quality new homes in the most desirable real estate markets across the nation. Our home plans demonstrate our commitment to our customers by showcasing outstanding new home construction and a dedication to excellence in homebuilding. Every new home for sale offers the simplicity of included options featured in our model homes and inventory homes. The prices of our homes, included features and available locations are subject to change without notice. Stated dimensions and square footage are approximate and should not be used a representation of the home's precise or actual size. Please see the actual purchase agreement for additional information, disclosures and disclaimers relating to the home and it's features.","202 Fulton St., Independence Heights",Fulton Station,"Owning a smart home has become one of the most significant new trends in today’s tech-driven society. Home automation not only adds that ""wow factor"" to your living experience but also makes life a lot more convenient and more fun. That’s why we’re happy to present Lennar’s new venture with Amazon Alexa...",https://www.nanproperties.com/our-developments-page/fulton-station,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200393/Fulton-Station.jpg,https://www.youtube.com/watch?v=SQvB9KmfBII
Current,$200k - $500k,Upland Preserve,Lennar Homes,"Lennar is the leading builder of quality new homes in the most desirable real estate markets across the nation. Our home plans demonstrate our commitment to our customers by showcasing outstanding new home construction and a dedication to excellence in homebuilding. Every new home for sale offers the simplicity of included options featured in our model homes and inventory homes. The prices of our homes, included features and available locations are subject to change without notice. Stated dimensions and square footage are approximate and should not be used a representation of the home's precise or actual size. Please see the actual purchase agreement for additional information, disclosures and disclaimers relating to the home and it's features.","1410 Upland Dr., Spring Branch",Upland Preserve,"Picturesque view to beautiful water feature with fountain & walking trail. Viewable from the first-floor patio deck & 3rd-floor balcony. Best location in this small gated community. This 3 story home, 3 Bedrooms, 3.5 baths, 2 car garage. family room, dining room & study. 6-panel...",https://www.nanproperties.com/our-developments-page/upland-preserve,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200400/Upland-Preserve.jpg,https://www.youtube.com/watch?v=SQvB9KmfBII
Current,$200k - $500k,Chapel Heights,Lennar Homes,"Lennar is the leading builder of quality new homes in the most desirable real estate markets across the nation. Our home plans demonstrate our commitment to our customers by showcasing outstanding new home construction and a dedication to excellence in homebuilding. Every new home for sale offers the simplicity of included options featured in our model homes and inventory homes. The prices of our homes, included features and available locations are subject to change without notice. Stated dimensions and square footage are approximate and should not be used a representation of the home's precise or actual size. Please see the actual purchase agreement for additional information, disclosures and disclaimers relating to the home and it's features.","5106 Chapel Heights Dr., Independence Heights",Chapel Heights,New construction home by Lennar ready June 2019! This home in the gated retreat of Chapel Heights is tucked away in the back of the community and features open concept living and plenty of large windows and tall entryway ceiling offering lots of natural light. Includes...,https://www.nanproperties.com/our-developments-page/chapel-heights,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200391/Chapel-Heights.jpg,https://www.youtube.com/watch?v=SQvB9KmfBII
Current,$200k - $500k,ESTATES OF HIGHLAND HEIGHTS,Reme Homes,,"2613, 2403, 2017, 2117, 2115, 2019, 2113 PAUL QUINN, HIGHLAND HEIGHTS",ESTATES OF HIGHLAND HEIGHTS,"Estates of Highland Heights is ready to show now! Experience a neighborhood feel, with new construction 2-story single-family homes including 3 bedrooms, 2.5 bathrooms,and large backyards all within a gated community. Open concept floor plans mapped with multi-functional rooms designed to suit any lifestyle...",https://www.nanproperties.com/our-developments-page/estate-of-highland-heights,https://i.ibb.co/sQRnpLJ/preview-full-2.jpg,
Current,$200k - $500k,DEL NORTE HEIGHTS,--,,"5611, 5609, 5607 CALENDULA, OAK FOREST",DEL NORTE HEIGHTS,"Welcome home to Del Norte Heights. Modern living in the city with unmatched accessibilty to Houston's best. Gated community just north of Oak Forest. Easy access to 610, I-45, I-10, & 290. Minutes from the Heights, Galleria, Downtown or Spring. Our generously sized home offering 2-story floorplan with first floor living. Choose from 3 different floor plans...",https://www.nanproperties.com/our-developments-page/del-norte-heights,https://i.ibb.co/9hFRpY3/preview-full-1.jpg,
Current,$200k - $500k,Beyond Metronome,--,,"2063, 2071,2059,2057,2055,2053, 2051,2049, 2047 Sherwood Forest",Beyond Metronome,,,https://photos.harstatic.com/182510009/hr/img-1.jpeg,
Current,$200k - $500k,Lakes of Bella Terra,Sitterle Homes,,"11902 Peonia Lane, 24642 Bardona Way",Sitterle Homes - Lakes of Bella Terra,,,https://photos.harstatic.com/183131539/hr/img-1.jpeg,
Current,$500k - $1MM,Artavia,J Patrick,,"17402 Orchid Falls Lane, 17353 Amaryllis Lane",J Patrick - Artavia,"Find your new home in the community of Artavia by J. Patrick homes. Artavia is a vibrant community with many upscale amenities such as discovery ponds, meditation gardens, and more! This stunning new home has 4 bedrooms & 4.5 baths. With amenities such as a game room, media room and a four car garage, this home is a must-see! The gorgeous kitchen is complete with an island with a farmhouse style sink, bar seating, and all new appliances. Overlooking the kitchen is the spacious dining room which features stunning wooden floors. The spa-like master bath has his and hers sinks, a standing shower and a luxurious alcove tub. Other amenities of this home include large walk in closets, a gorgeous staircase, and an outdoor patio and kitchen. The Nan new home team can assist the J. Patrick client with seller assistant programs, and guaranteed buyout. We are here to make your home buying process as seamless as possible. Come experience for yourself what the community of Artavia has to offer!",,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/237951/Natalie_-_17402_Orchid_Falls_Ln-48.jpg,
Current,$500k - $1MM,Harpers Preserve,J Patrick,,10418 Lake Palmetto Drive,Harpers Preserve,"Find yourself at home in this new construction 4 bedroom fortress! With its Meadowlark floorplan, you are given the absolute best space, perfect for large families and ready for move-in January 2020. This home includes a media room, game room, and a 4 car garage! Throughout the home, you’ll find tile, wood, and carpet flooring to compliment the beautiful finishes and light fixtures. Walking through the kitchen you’ll find nothing less than deluxe appliances and countertops. Burrowed in Harper’s Preserve, you will find the community offers amazing amenities for all families to enjoy such as a pool, playground, picnic area, and a scenic lake! J. Patrick Homes brings you this home. The community is zoned to Conroe ISD and offers easy access to major highways. Schedule a tour and make your way to this divine community to find your new forever home!",,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/237952/content_AK3_4973-HDR.jpg,
Sold,Over $1MM,River Oaks,Montage Builders,,"2211 Inwood Dr., River Oaks",2211 Inwood Drive,"Montage Builders presents a River Oaks masterpiece by J.D. Bartell. 2211 Inwood's English Regency-style exterior pairs perfectly with today's architectural design, while its manicured lawn respects the neighborhood and history of River Oaks. The attention to detail and...",https://www.nanproperties.com/real-estate/2211-inwood-drive-houston-tx-77019/43543068/76307895,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200341/2211-inwood.jpg,
Sold,$200k - $500k,CHATEUX ON THE BISTROP,IKLO Homes,,"2303, 2307, 2305 BERRY ST, UNIVERSITY AREA",CHATEUX ON THE BISTROP,"IKLO Homes presents an elegant and beautiful home located in the University area, this new construction home offers top luxury finishes. Centrally located, you are placed just a few minutes away from the Downtown & Museum District. This home offers a living space with an open concept floor plan that also includes a formal dining room...",https://www.nanproperties.com/our-developments-page/chateux-on-the-bistro,https://i.ibb.co/mJD2BdB/preview-full-4.jpg,
Sold,,Somerset Townhomes,Coventry Homes,,"3619 Somerset York, Timbergrove/Lazybrook",Somerset Townhomes,Gorgeous new construction home built by Coventry Homes. This 4 story property is situated inside a guard-gated community that is fit for those seeking a walkable lifestyle.,,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200344/3619-somerset.jpg,
Sold,,Neumann Oaks,Lennar Homes,"Lennar is the leading builder of quality new homes in the most desirable real estate markets across the nation. Our home plans demonstrate our commitment to our customers by showcasing outstanding new home construction and a dedication to excellence in homebuilding. Every new home for sale offers the simplicity of included options featured in our model homes and inventory homes. The prices of our homes, included features and available locations are subject to change without notice. Stated dimensions and square footage are approximate and should not be used a representation of the home's precise or actual size. Please see the actual purchase agreement for additional information, disclosures and disclaimers relating to the home and it's features.","5003 Lehman Oaks Dr., Independence Heights",Neumann Oaks,"Owning a smart home has become one of the most significant new trends in today’s tech-driven society. Home automation not only adds that ""wow factor"" to your living experience but also makes life a lot more convenient and more fun.",,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200398/Neumann-Oaks.jpg,https://www.youtube.com/watch?v=SQvB9KmfBII
Sold,,Hyde Park Courtyards,Montage Builders,,"1527 Vermont st., montrose",Hyde Park Courtyards,"Last one available! Montage Builders presents an elegant masterpiece with renowned architect, JD Bartell! Located in the highly desired Hyde Park subdivision of Montrose, this new construction home offers over the top luxury finishes.",,https://i.ibb.co/YLWdkgd/preview-full-Montage-Buidlers-1527-Vermont-St-45.jpg,
Sold,,Regency West,Montage Builders,,"1244 W pierce, 1415 & 1417 hazel",Regency West,"Montage Builders and renowned Designer J.D. Bartell bring you an amazing luxury masterpiece outfitted with high-end finishes. Entry floors are stone imported from Italy. Wood flooring throughout the home is 6"" select white oak. The main level displays a versatile family/dining room with a lot of natural light. Kitchen is outfitted with high-end appliances. Elevator, Home automation, and en-suite bathrooms.",,https://i.ibb.co/TgMdR4D/preview-full-11.jpg,
Sold,,River Oaks,Al Ross Luxury Homes,,"2240 Del Monte Dr., River Oaks",2240 Del Monte Drive,"Al Ross Luxury Homes are handcrafted one-of-a-kind property masterpieces in Houston's luxurious River Oaks area. Inside these custom homes, every single detail matters to this extraordinary builder. Al Ross has a longstanding reputation for his meticulously planned homes.",,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200392/2240-Del-Monte.jpg,
Sold,,River Oaks,--,,"2414 Inwood Dr., River Oaks",2414 Inwood Drive,"This River Oaks French contemporary is an incredible marriage of elegance & technology. Open concept with delineated spaces, this home lends itself to entertaining. Formal living and study grace either side of the entry.",,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200365/2414-inwood.jpg,
Sold,,River Oaks,Al Ross Luxury Homes,,"3615 Meadow Lake Lane, River Oaks",3615 Meadow Lake Lane,"Al Ross Luxury Homes are handcrafted one-of-a-kind property masterpieces in Houston's luxurious River Oaks area. Inside these custom homes, every single detail matters to this extraordinary builder. Al Ross has a longstanding reputation for his meticulously planned homes.",,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200476/Photo_3615_Meadow_Lake.jpg,
Sold,,,Al Ross Luxury Homes,,"7 West Lane, River Oaks",7 West Lane,"Al Ross Luxury Homes are handcrafted one-of-a-kind property masterpieces in Houston's luxurious River Oaks area. Inside these custom homes, every single detail matters to this extraordinary builder. Al Ross has a longstanding reputation for his meticulously planned homes.",,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200390/7-West-Lane.jpg,
Sold,,,Carnegie Homes,,"1343 Peden St., Montrose",Kensington,"Carnegie Homes has over 30 years of combined experience and offers a superior level of expertise to all of our homes. Our goal at Carnegie Homes is to meet and exceed your expectations. Whether you are looking for a traditional home in the suburbs, or crave a more contempo.",,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200394/Kensington.jpg,
Sold,,,--,,"1709 Ebony Ln., Oak Forest",1709 Ebony Lane,"Situated on a manicured lot in the desirable Oak Forest, this newly constructed masterpiece combines sophisticated luxury with innovative functionality for today’s lifestyle.",,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200366/1709-ebony.jpg,
Sold,,,Sanctuary Builders,,"803 & 805 Kipling St., Montrose",803 & 805 Kipling,"Sanctuary Builders builds quality homes and communities with thoughtful design, community mindfulness, and environmental stewardship. Unwavering in this commitment, Sanctuary Builders creates living spaces with aesthetics, function, and efficiency.",,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200396/Kipling.jpg,
Sold,,,Urban Flats Builder,,"4820 Caroline St., Rice/Museum District",Oaks on Caroline,"Our friends at Urban Flats Builder take pride in crafting contemporary mid-rise flats and townhomes anchored on some of the most coveted corners in Houston real estate. The approach is simple – to provide you with an affordable, yet stylishly functional home.",,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200367/4820-caroline.jpg,
Sold,,,MC2 Architects,,"5658 Terwilliger Way, Galleria",5658 Terwilliger Way,"Mc2 Architects is a designer/builder bringing a design to reality with consistent vision and oversight located in Houston, Texas at 5600 Rose Street. Direct design execution by the firm helps realize the project vision.",,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200399/Terwillger.jpg,